"","cHL1","cHL2","cHL3","cHL4","cHL5","cHL6","cHL7","cHL8","cHL9","cHL10","cHL11","cHL12","NLPHL1","NLPHL2","NLPHL3","NLPHL4","NLPHL5","CB1","CB2","CB3","CB4","CB5"
"CTDSP2",5.53768636657164,6.15775112584139,5.79905463533012,5.96817490262229,6.24637342008417,6.74078148650986,7.22055273506441,5.39170651559132,7.40200530042901,5.8603709053036,5.30627403835614,6.49866166753255,5.86441921481127,7.24554998815287,6.33727405645461,6.84514934333876,6.19604677047239,6.9859933732342,6.62229738630014,7.80675006788627,7.38076065909774,7.2027433420853
"ARPC2",7.32693598368189,7.80936450939647,8.28077246967048,7.62993877015382,8.61412627822099,7.35617432572693,7.2039023704175,6.49372641166378,7.31604205575161,7.97472373849261,8.06586341885718,8.35368627421482,7.88647289004125,7.37013619914021,8.06477758819465,8.20265672480416,9.40038482257757,8.44720874507586,8.34259257781857,9.24855070828962,9.37181818868416,8.57925902388926
"RAD50",3.3723925350528,3.72346830939444,4.59790706355118,3.64269069339253,3.78554995094832,2.52258523312366,3.63867666111723,3.01821577984172,2.56367749085205,2.92383447124997,3.52885151492777,3.07698173818479,4.07698656709188,3.74157936604674,3.82285466740829,3.45522937873933,4.2296686207562,5.95372046244586,3.11364228439967,4.38591813676069,4.35854463174065,4.42536169699458
"KIF20A",2.94369130140119,2.66131768610231,2.8126880972792,3.38426630213416,2.99001130306755,3.89833429946242,4.05681073159182,2.67280121883415,2.47829124536468,3.41546093556341,2.63382563446146,4.07278527992789,3.3218823052782,3.86340200261869,2.61739666871439,3.93724886001605,4.22105050700208,4.82482674721321,4.22378540166314,4.20076790874971,5.56444009856002,4.90820626553691
"ARL4C",4.51251650823623,4.48985970629038,5.87567768586574,4.85590287036742,5.60460969698581,5.28274268568417,3.52799871132298,3.63615539818931,6.76858617749321,3.77504945904509,4.02008811425019,4.69211827582789,4.91189409109914,5.76027799632487,5.34509337318291,5.44024342137134,5.26938748486451,3.25158018025174,3.42341783527421,3.68730733686502,3.18138461353394,3.81726862637008
"RASGRP1",4.29470801859187,6.61729138981877,4.12787678056331,6.35304590141783,7.66069868073585,4.21653576690355,3.48799883287763,5.0993590054697,2.80024254424837,4.09497603847908,3.93062289824572,4.32548033614767,5.57452753761913,4.50694250041286,5.7815833494937,4.57596466586361,5.58586087354946,6.33388008274552,5.46741854524026,5.82272736545484,6.05786421922394,5.56629798233426
"LRPPRC",5.20233054503723,6.51043555412169,6.6070226992773,4.99795925007358,6.90938360924884,5.0541189231669,4.98772428856966,5.85347596978989,3.65918787527293,5.74887669447371,6.78493669713184,5.5490022184068,5.60937437362166,5.88273829745228,5.4242143482766,5.05246172795837,5.34162409993005,6.87378268482396,6.19152518257567,6.33199772178474,7.01417261503717,6.38811008167333
"PDIA6",6.29752772499859,6.16961918224543,6.74074072271137,5.84393341196538,5.61712314673288,4.92958573709748,5.40780598965963,4.61799978139241,6.44915897420129,5.16760120991519,4.60950952053374,5.06659066378346,6.10809639381756,6.09916413123622,6.26017262833581,6.32983235062113,6.07165111322025,5.63075330645422,2.85763441955764,6.02589450285667,5.54469041951581,5.74117327287698
"OPTN",8.92894818010086,8.61234725163736,8.32982523359087,6.44119047333901,7.27340922566195,7.61526782312391,8.47139446766869,6.00102183420564,7.85981252962641,6.20110804878271,7.70460917909159,6.38505411415549,6.8602601251484,8.04274562447059,8.34774543477517,7.42168074543652,7.67552984938718,5.08738466729744,5.70325369056033,5.62061493498799,4.5467501877423,3.59097913035503
"BCAP31",4.92235971251045,5.89673728672554,5.63820024546724,5.40126575870103,5.36540043525943,5.54924668191844,5.72178932348695,5.58716091930376,7.14610186858904,5.15672113191542,5.24351583144347,5.65572346598479,5.41464446987808,6.27806165574881,5.69581556632242,6.00068413712774,4.75004461908171,4.15029047621679,4.58730792447266,4.32425476648178,4.31911817882221,4.54644104310514
"RBM12",2.76054724310686,3.55216669530943,4.71665543802205,3.06125761191515,3.75115795507888,2.2087339377954,3.83853426016014,2.04717954622583,2.94998722073566,2.26908352335881,2.53157964994564,4.39566174818216,3.06756040984821,3.72600290179179,4.30787119310255,4.46159780879322,3.84698917661901,5.00725918363402,3.58271584046194,4.88414310664179,5.07198943875423,5.23484568742759
"AKAP9",3.15632715568258,4.58654240879003,3.89095065532572,3.13833559523778,4.43304935308068,2.4965524289199,3.35984864014809,3.39784422270143,3.10085657280058,2.87292535360089,2.98602244733382,3.00684871923653,4.10761595710784,4.64507815219547,4.55657822270024,5.18668253209193,3.96431206132515,4.83929547675994,4.19186730154598,4.37361812944866,4.65120345400076,4.42986760331129
"SUGP2",5.35115354627814,6.97982671087123,6.36883381485365,6.30323641787792,5.829161017589,5.71065310498532,5.73767637306305,4.99067861276344,4.935467994269,6.2895492631535,5.64893562133557,4.9960611878929,6.6704567600133,6.59284167112168,6.4030048454795,6.73207080142928,6.15789629512929,7.17613598496077,6.31001213106565,7.22421859945961,7.29197353606756,7.05379940767085
